year,month,day,pcp,ave_temp,max_temp
1948,1,15,2.04,45.4,58.2
1948,2,15,1.99,42.4,53.6
1948,3,15,3.48,44.5,55.5
1948,4,15,4.38,51.5,62.3
1948,5,15,1.31,58.2,71.1
1948,6,15,0.66,67.2,81
1948,7,15,0.17,72.7,88.2
1948,8,15,0.08,71.9,87.7
1948,9,15,0.4,68.3,83.6
1948,10,15,0.88,59.3,72.4
1948,11,15,1.11,47.8,60.4
1948,12,15,3.72,38.6,47.9
1949,1,15,2.09,32.2,42.1
1949,2,15,2.76,39.6,49.9
1949,3,15,4.49,46.3,55.8
1949,4,15,0.21,57.3,71.3
1949,5,15,1.33,60.5,73.2
1949,6,15,0.09,69.7,84.7
1949,7,15,0.07,74,89.6
1949,8,15,0.15,71.5,86.8
1949,9,15,0.11,70.2,85.6
1949,10,15,0.3,57.4,71.6
1949,11,15,1.72,54.7,68.2
1949,12,15,1.9,41.2,51.8
1950,1,15,5.39,37.6,47
1950,2,15,2.71,46.2,57.8
1950,3,15,2.85,48.4,60
1950,4,15,1.34,56.3,69.9
1950,5,15,0.63,60.9,75.2
1950,6,15,0.34,67,81.8
1950,7,15,0.24,75.8,90.8
1950,8,15,0.07,74.4,90.7
1950,9,15,0.51,67.7,81.4
1950,10,15,3.41,61.4,74.5
1950,11,15,4.24,53.6,64.4
1950,12,15,4.21,48.2,57.4
1951,1,15,4.09,42.2,51.3
1951,2,15,2.54,44.5,54.8
1951,3,15,1.17,48.1,60.7
1951,4,15,1.6,55.1,67.4
1951,5,15,1.02,61.3,74.8
1951,6,15,0.07,68.5,83.5
1951,7,15,0.15,74.7,90.3
1951,8,15,0.35,73.1,88.5
1951,9,15,0.15,70.7,86.4
1951,10,15,1.85,58.6,71.7
1951,11,15,3.37,49.1,59.8
1951,12,15,7.23,40.8,49.4
1952,1,15,7.44,38.7,46.8
1952,2,15,2.58,44,54.2
1952,3,15,4.78,43.6,53.2
1952,4,15,1.5,54.4,66.7
1952,5,15,0.46,63,77.5
1952,6,15,0.68,64.3,77.9
1952,7,15,0.4,75.6,90.5
1952,8,15,0.05,74.3,89.7
1952,9,15,0.45,70.6,85.6
1952,10,15,0.12,63.7,78.6
1952,11,15,2.29,46.7,58.4
1952,12,15,7.22,42.2,50
1953,1,15,4.52,47,56.4
1953,2,15,0.55,45.3,58
1953,3,15,2.32,48.1,60.7
1953,4,15,2.23,52.7,65
1953,5,15,1.63,55.4,67.5
1953,6,15,0.61,64.5,78.3
1953,7,15,0.1,76.2,91.8
1953,8,15,0.31,71.8,86.4
1953,9,15,0.04,71,86.3
1953,10,15,0.79,58.9,72.8
1953,11,15,2.94,51.2,61.4
1953,12,15,1.15,44,55.1
1954,1,15,5.93,42.7,52
1954,2,15,3.02,48.7,60.8
1954,3,15,4.13,46,56.5
1954,4,15,1.67,57.5,70.4
1954,5,15,0.13,63.6,78.3
1954,6,15,0.68,66.4,80.5
1954,7,15,0.24,75.8,91.1
1954,8,15,0.27,70.4,85
1954,9,15,0.22,67.4,83
1954,10,15,0.29,59.3,74.1
1954,11,15,2.75,51.3,62.7
1954,12,15,3.67,41.8,51
1955,1,15,3.61,38,47
1955,2,15,1.5,41.7,53.2
1955,3,15,0.7,48,60.8
1955,4,15,2.42,49.6,61.7
1955,5,15,0.67,59.6,73
